Device ID,Time,Rainfall
10451,05/06/2020 9:00,0
11271,05/06/2020 9:00,20
25832,05/06/2020 9:00,0
96034,05/06/2020 9:00,2k4
46759,05/06/2020 9:00,20
96034,05/06/2020 9:00,2
10506,05/06/2020 9:00,2
10451,05/06/2020 9:30,0
25832,05/06/2020 9:30,30
46759,05/06/2020 9:30,30
96034,05/06/2020 9:30,8
10506,05/06/2020 9:30,8
10451,05/06/2020 10:00,0
11271,05/06/2020 10:00,0
25832,05/06/2020 10:00,0
46759,05/06/2020 10:00,30
96034,05/06/2020 10:00,25
10506,05/06/2020 10:00,5
10451,05/06/2020 10:30,6
25832,05/06/2020 10:30,3
10452,05/06/2020 10:30,20
46759,05/06/2020 10:30,20
96034,05/06/2020 10:30,5
10506,05/06/2020 10:30,10
11271,05/06/2020 11:00,3
10451,05/06/2020 11:00,3
25832,05/06/2020 11:00,50
46759,05/06/2020 11:00,20
96034,05/06/2020 11:00,0
10506,05/06/2020 11:00,0
10451,05/06/2020 11:30,2
25832,05/06/2020 11:30,3
46759,05/06/2020 11:30,15
96034,05/06/2020 11:30,22
10506,05/06/2020 11:30,12
10451,05/06/3030 11:30,52
